ID,Green,Open/Closed/Fallen,Age(1-4),Damage(0-3),Counted,Day,Comments
PC0003,2,O,2,0,Y,56,
PC0003,2,O,3,0,N,57,
PC0003,2,O,4,0,N,58,
PC0003,2,O,4,0,N,59,
PC0003,2,O,4,0,N,60,
PC0003,2,O,4,0,N,61,
PC0003,2,O,4,0,N,62,
PC0003,2,O,4,0,N,63,
PC0211,2,O,1,0,Y,48,
PC0211,2,O,1,1,Y,49,
PC0211,2,O,1,1,Y,50,
PC0211,2,O,1,1,Y,51,
PC0211,2,O,2,1,Y,52,
PC0211,2,O,3,0,N,53,
PC0211,2,F,,,,54,
PC0211,2,F,,,,55,
PC0211,2,F,,,,56,
PC0211,2,F,,,,57,
PC0211,2,F,,,,58,
PC0211,2,F,,,,59,
PC0211,2,F,,,,60,
PC0211,2,F,,,,61,
PC0211,2,F,,,,62,
PC0211,2,F,,,,63,
PA2495,3,C,NA,0,N,48,
PA2495,3,C,NA,0,N,49,
PA2495,3,O,1,0,Y,50,
PA2495,3,O,1,0,Y,51,
PA2495,3,F,,,,52,
PA2495,3,F,,,,53,
PA2495,3,F,,,,54,
PA2495,3,F,,,,55,
PA2495,3,F,,,,56,
PA2495,3,FR,,,,57,
PA2495,3,F,,,,58,
PA2495,3,FR,,,,59,
PA2495,3,F,,,,60,
PA2495,3,F,,,,61,
PA2495,3,F,,,,62,
PA2495,3,F,,,,63,
PB0391,3,O,1,0,Y,50,
PB0391,3,O,1,0,Y,51,
PB0391,3,O,1,0,Y,52,
PB0391,3,O,1,0,Y,53,
PB0391,3,O,1,0,Y,53,
PB0391,3,F,,,,54,
PB0391,3,F,,,,55,
PB0391,3,FR,,,,56,
PB0391,3,FR,,,,57,
PB0391,3,FR,,,,58,
PB0391,3,FR,,,,59,
PB0391,3,FR,,,,60,
PB0391,3,FR,,,,61,
PB0391,3,FR,,,,62,
PB0391,3,FR,,,,63,
PB0351,4,C,NA,0,N,49,
PB0351,4,O,1,0,Y,50,
PB0351,4,O,1,0,Y,51,
PB0351,4,O,1,0,Y,52,
PB0351,4,O,3,0,N,53,
PB0351,4,F,,,,54,
PB0351,4,F,,,,55,
PB0351,4,FR,,,,56,
PB0351,4,FR,,,,57,
PB0351,4,FR,,,,58,
PB0351,4,FR,,,,59,
PB0351,4,FR,,,,60,
PB0351,4,FR,,,,61,
PB0351,4,FR,,,,62,
PB0351,4,FR,,,,63,
PB4713,4,C,NA,0,N,48,
PB4713,4,O,1,0,Y,49,
PB4713,4,O,1,0,Y,50,
PB4713,4,F,NA,NA,NA,51,
PB4713,4,F,,,,52,
PB4713,4,F,,,,53,
PB4713,4,F,,,,54,
PB4713,4,F,,,,55,
PB4713,4,F,,,,56,
PB4713,4,FR,,,,57,
PB4713,4,FR,,,,58,
PB4713,4,FR,,,,59,
PB4713,4,FR,,,,60,
PB4713,4,FR,,,,61,
PB4713,4,FR,,,,62,
PB4713,4,FR,,,,63,
PC0046,4,O,1,0,Y,48,
PC0046,4,O,1,0,Y,49,
PC0046,4,O,1,0,Y,50,
PC0046,4,F,NA,NA,NA,51,
PC0046,4,F,,,,52,
PC0046,4,F,,,,53,
PC0046,4,F,,,,54,
PC0046,4,F,,,,55,
PC0046,4,F,,,,56,
PC0046,4,FR,,,,57,
PC0046,4,FR,,,,58,
PC0046,4,FR,,,,59,
PC0046,4,FR,,,,60,
PC0046,4,FR,,,,61,
PC0046,4,FR,,,,62,
PC0046,4,FR,,,,63,
PC1922,4,O,1,0,Y,54,
PC1922,4,O,1,0,Y,55,
PC1922,4,O,1,0,Y,56,
PC1922,4,F,,,,57,
PC1922,4,F,,,,58,
PC1922,4,F,,,,59,
PC1922,4,F,,,,60,
PC1922,4,FR,,,,61,
PC1922,4,FFR,,,,62,
PC1922,4,FR,,,,63,
PB0391,5,C,NA,0,N,48,
PB0391,5,O,1,0,Y,49,
PB0391,5,O,1,0,Y,50,
PB0391,5,O,1,0,Y,51,
PB0391,5,O,1,0,Y,52,
PB0391,5,O,1,0,Y,53,
PB0391,5,F,,,,54,
PB0391,5,F,,,,55,
PB0391,5,F,,,,56,
PB0391,5,F,,,,57,
PB0391,5,F,,,,58,
PB0391,5,F,,,,59,
PB0391,5,F,,,,60,
PB0391,5,F,,,,61,
PB0391,5,F,,,,62,
PB0391,5,F,,,,63,
PB0427,5,C,,,,54,
PB0427,5,C,,,,55,
PB0427,5,O,1,0,Y,56,
PB0427,5,O,1,0,Y,57,
PB0427,5,O,1,0,Y,58,
PB0427,5,F,,,,59,
PB0427,5,F,,,,60,
PB0427,5,F,,,,61,
PB0427,5,F,,,,62,
PB0427,5,F,,,,63,
PB0458,6,C,,,,54,
PB0458,6,O,1,0,Y,55,
PB0458,6,O,1,0,Y,56,
PB0458,6,O,3,0,N,57,
PB0458,6,F,,,,58,
PB0458,6,F,,,,59,
PB0458,6,F,,,,60,
PB0458,6,F,,,,61,
PB0458,6,FR,,,,62,
PB0458,6,FR,,,,63,
PB0768,6,O,1,0,Y,48,
PB0768,6,O,1,0,Y,49,
PB0768,6,O,1,0,Y,50,
PB0768,6,O,1,0,Y,51,
PB0768,6,F,,,,52,
PB0768,6,F,,,,53,
PB0768,6,F,,,,54,
PB0768,6,FR,,,,55,
PB0768,6,FR,,,,56,
PB0768,6,FR,,,,57,
PB0768,6,FR,,,,58,
PB0768,6,FR,,,,59,
PB0768,6,FR,,,,60,
PB0768,6,FR,,,,61,
PB0768,6,FR,,,,62,
PB0768,6,FR,,,,63,
PC0259,6,C,NA,0,N,48,
PC0259,6,O,1,0,Y,49,PLANT VISITED BY BEE
PC0259,6,O,1,0,Y,50,
PC0259,6,O,2,0,Y,51,
PC0259,6,F,,,,52,
PC0259,6,F,,,,53,
PC0259,6,F,,,,54,
PC0259,6,F,,,,55,
PC0259,6,F,,,,56,
PC0259,6,F,,,,57,
PC0259,6,FR,,,,58,
PC0259,6,FR,,,,59,
PC0259,6,FR,,,,60,
PC0259,6,FR,,,,61,
PC0259,6,FR,,,,62,
PC0259,6,FR,,,,63,
PB1834,7,C,,,,54,
PC0271,7,O,1,0,Y,49,ROBBED BEE
PC0271,7,O,1,0,Y,50,
PC0271,7,F,NA,NA,NA,51,
PC0271,7,F,,,,52,
PC0271,7,F,,,,54,
PC0271,7,F,,,,55,
PC0271,7,F,,,,56,
PC0271,7,F,,,,57,
PC0271,7,F,,,,58,EATEN
PC0271,7,F,,,,59,
PC0271,7,F,,,,60,
PC0271,7,F,,,,61,
PC0271,7,F,,,,62,
PC0271,7,F,,,,63,
PB1834,8,O,1,0,Y,49,
PB1834,8,O,1,0,Y,50,
PB1834,8,O,1,0,Y,51,
PB1834,8,O,1,0,Y,52,
PB1834,8,F,,,,53,
PB1834,8,F,,,,54,
PB2880,8,C,,,,54,
PB2880,8,O,1,0,Y,55,
PB2880,8,O,1,0,Y,56,
PB2880,8,O,2,0,Y,57,
PB2880,8,F,,,,58,
PB2880,8,F,,,,59,
PB2880,8,F,,,,60,
PB2880,8,F,,,,61,
PB2880,8,F,,,,62,
PB2880,8,F,,,,63,
PC0016,8,O,1,0,Y,48,
PC0016,8,F,NA,NA,NA,49,
PC0016,8,F,NA,NA,NA,50,
PC0016,8,F,NA,NA,NA,51,
PC0016,8,F,,,,52,
PC0016,8,F,,,,54,
PC0016,8,F,,,,55,
PC0016,8,F,,,,56,
PC0016,8,F,,,,57,
PC0016,8,F,,,,58,
PC0016,8,F,,,,59,
PC0016,8,F,,,,60,
PC0016,8,F,,,,61,
PC0016,8,F,,,,62,
PC0016,8,F,,,,63,
PC0199,8,O,1,0,Y,48,
PC0199,8,O,1,0,Y,49,
PC0199,8,F,NA,NA,NA,50,
PC0199,8,F,NA,NA,NA,51,
PC0199,8,F,,,,52,
PC0199,8,F,,,,53,
PC0199,8,F,,,,54,
PC0199,8,F,,,,55,
PC0199,8,F,,,,56,
PC0199,8,F,,,,57,
PC0199,8,F,,,,58,
PC0199,8,F,,,,59,
PC0199,8,F,,,,60,
PC0199,8,F,,,,61,
PC0199,8,F,,,,62,
PC0199,8,FR,,,,63,
PC0314,8,O,1,0,Y,52,
PC0314,8,O,1,0,Y,53,
PC0314,8,O,1,1,Y,54,
PC0314,8,F,,,,55,
PC0314,8,F,,,,56,
PC0314,8,F,,,,57,
PC0314,8,F,,,,58,
PC0314,8,F,,,,59,
PC0314,8,FR,,,,60,
PC0314,8,FR,,,,61,
PC0314,8,FR,,,,62,
PC0314,8,FR,,,,63,
PB0451,9,C,NA,0,N,48,
PB0451,9,O,1,0,Y,50,
PB0451,9,F,NA,NA,NA,51,
PB0451,9,F,,,,52,
PB0451,9,F,,,,53,
PB0451,9,F,,,,54,
PB0451,9,F,,,,55,
PB0451,9,F,,,,56,
PB0451,9,F,,,,57,
PB0451,9,F,,,,58,
PB0451,9,F,,,,59,
PB0451,9,F,,,,60,
PB0451,9,F,,,,61,
PB0451,9,F,,,,62,
PB0451,9,F,,,,63,
PB0738,9,C,,,,54,
PB0738,9,O,1,0,Y,55,
PB0738,9,O,1,0,Y,56,
PB0738,9,F,,,,57,
PB0738,9,F,,,,58,
PB0738,9,F,,,,59,
PB0738,9,F,,,,60,
PB0738,9,F,,,,61,
PB0738,9,F,,,,62,
PB0738,9,F,,,,63,
PA2495,10,C,NA,0,N,48,
PA2495,10,O,1,0,Y,49,
PA2495,10,O,1,0,Y,50,
PA2495,10,O,1,0,Y,51,
PA2495,10,F,,,,52,
PA2495,10,F,,,,53,
PA2495,10,F,,,,54,
PA2495,10,F,,,,55,
PA2495,10,F,,,,56,
PA2495,10,FR,,,,57,
PA2495,10,FR,,,,58,
PA2495,10,F,,,,59,EATEN
PA2495,10,F,,,,60,
PA2495,10,F,,,,61,
PA2495,10,F,,,,62,
PA2495,10,F,,,,63,
PB0311,10,O,1,0,Y,50,
PB0311,10,O,1,0,Y,51,
PB0311,10,O,1,0,Y,52,
PB0311,10,O,3,0,N,53,
PB0311,10,O,3,0,N,54,
PB0311,10,O,4,0,N,55,
PB0311,10,O,4,0,N,56,
PB0311,10,O,4,0,N,57,
PB0311,10,O,4,0,N,58,
PB0311,10,O,4,0,N,59,
PB0311,10,O,4,0,N,60,
PB0311,10,O,4,0,N,61,
PB0311,10,F,,,,62,
PB0311,10,FR,,,,63,
PC0210,10,O,1,0,Y,48,
PC0210,10,O,1,0,Y,49,
PC0210,10,O,1,0,Y,50,
PC0210,10,O,3,0,N,51,
PC0210,10,F,,,,52,
PC0210,10,F,,,,53,
PC0210,10,F,,,,54,
PC0210,10,F,,,,55,
PC0210,10,F,,,,56,
PC0210,10,F,,,,57,
PC0210,10,F,,,,58,
PC0210,10,F,,,,59,
PC0210,10,F,,,,60,
PC0210,10,F,,,,61,
PC0210,10,F,,,,62,
PC0210,10,FR,,,,63,
PC2504,10,C,,,,52,
PC2504,10,O,1,0,Y,53,
PC2504,10,O,1,0,Y,54,
PC2504,10,O,1,0,Y,55,
PC2504,10,F,,,,56,
PC2504,10,F,,,,57,
PC2504,10,F,,,,58,
PC2504,10,F,,,,59,
PC2504,10,O,4,0,N,60,
PC2504,10,F,,,,61,
PC2504,10,F,,,,62,
PC2504,10,F,,,,63,
PA0998,11,O,1,0,Y,50,
PA0998,11,O,1,0,Y,51,
PA0998,11,O,1,0,Y,52,
